bird-genus,bird-species,bird-sex,plant-genus,plant-species,visitor-mode,mode-confidence,lat,lon,location,elevation,date-observation,source,source-notes,date-accessed,notes
Lesbia,victoriae,NA,Agapanthus,sp.,T,L,-0.1865,-78.4858,,,8/20/19,"https://macaulaylibrary.org/asset/173368791, https://macaulaylibrary.org/asset/173368731, https://macaulaylibrary.org/asset/173368721, https://macaulaylibrary.org/asset/173368711, https://macaulaylibrary.org/asset/173368691, https://macaulaylibrary.org/asset/173368681",,1/5/20,"A few visits by same bird on same inflorescence, mainly thieving, with one visit perhaps pollinating; bird has no tail; uncertain sex ID"
Lesbia,victoriae,NA,Fuchsia,sp.,NR,,-0.1865,-78.4858,,,8/20/19,https://macaulaylibrary.org/asset/173368781,,1/5/20,same tail-less bird as 173368681-173368791
Lesbia,victoriae,f,Monocot,sp.,P,L,-0.1968,-78.4731,,,8/17/19,https://macaulaylibrary.org/asset/172908921,,1/5/20,
Lesbia,victoriae,m,Salvia,leucantha,NA,L,4.6059,-74.0558,,,1/29/16,https://macaulaylibrary.org/asset/171684051,,1/5/20,
Lesbia,victoriae,f,Salvia,leucantha,NA,L,4.6059,-74.0558,,,1/29/16,https://macaulaylibrary.org/asset/171684041,,1/5/20,
Lesbia,victoriae,m,Fuchsia,sp.,NR,H,-0.1865,-78.4858,,,7/25/19,"https://macaulaylibrary.org/asset/169782221, https://macaulaylibrary.org/asset/169782191",,1/5/20,
Lesbia,victoriae,m,Salvia,leucantha,P,H,4.6059,-74.0558,,,7/13/19,https://macaulaylibrary.org/asset/168395351,,1/5/20,
Lesbia,victoriae,m,?,?,P/T,H,-0.1865,-78.4858,,,7/13/19,"https://macaulaylibrary.org/asset/168227371, 168227361, 168227351, 16822731",,1/5/20,
Lesbia,sp.,m,Streptosolen,jamesonii,NA,H,-13.2624,-72.2676,,,6/12/19,https://macaulaylibrary.org/asset/166896711,,1/5/20,"IDed as L. victoriae on eBird, but looks like maybe L. nuna?"
Lesbia,victoriae,f,Leonotis,leonurus,P,H,-0.1549,-78.3499,,,5/17/19,https://macaulaylibrary.org/asset/164811591,,1/5/20,
Lesbia,victoriae,f,Nicotiana,glauca,P,H,-0.1598,-78.5024,,,3/30/15,https://macaulaylibrary.org/asset/163928231,,1/5/20,
Lesbia,victoriae,f,Lonicera,sp.,P/T,L,-0.1826,-78.4671,,,6/9/19,"https://macaulaylibrary.org/asset/163486521,163486511,163486501, 163486481, ML163486471, ML163486461, ML163486451",,1/5/20,exotic species?
Lesbia,nuna,m,Fuchsia,magellanica,NA,H,-13.1548,-72.5246,,,7/13/12,https://macaulaylibrary.org/asset/151822031,,1/5/20,"IDed as L. victoriae on eBird, but looks like L. nuna, or unclear?"
Lesbia,victoriae,f,Eucalyptus,sp.,P/T,L,-0.1968,-78.4731,,,4/14/19,https://macaulaylibrary.org/asset/151099991,,1/5/20,Ritter ID; exotic species
Lesbia,victoriae,f,Tecoma,capensis,P,L,-0.182,-78.3561,,,2/16/14,https://macaulaylibrary.org/asset/146233411,,1/5/20,
Lesbia,victoriae,f,Canna,sp.,NA,H,-0.1896,-78.353,,,3/16/19,https://macaulaylibrary.org/asset/145665811,,1/5/20,
Lesbia,victoriae,f,?,?,NA,L,-0.1865,-78.4858,,,7/25/09,https://macaulaylibrary.org/asset/145186931,,1/5/20,
Lesbia,victoriae,m,Asteraceae,sp.,P/T,H,-0.8673,-78.914,,,2/16/19,https://macaulaylibrary.org/asset/145142071,,1/5/20,
Lesbia,victoriae,m,Chuquiraga,sp.,P/T,H,-3.5663,-79.4564,,,2/23/19,https://macaulaylibrary.org/asset/143999311,,1/5/20,
Lesbia,victoriae,f,Hibiscus,sp.,NR,L,-0.1896,-78.353,,,2/17/19,https://macaulaylibrary.org/asset/143926201,,1/5/20,"base working, maybe?"
Lesbia,victoriae,m,Leonotis,leonurus,NA,L,-0.1896,-78.353,,,2/6/19,https://macaulaylibrary.org/asset/142897541,,1/5/20,exotic species
Lesbia,victoriae,f,Eucalyptus,?,P/T,L,-0.1968,-78.4731,,,2/23/19,https://macaulaylibrary.org/asset/142186091,,1/5/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,L,-0.166,-78.3607,,,8/25/16,"https://macaulaylibrary.org/asset/139858371, 139858281, 139858291",,1/6/20,"base working, maybe?"
Lesbia,victoriae,m,Abutilon,sp.,NR,L,-0.166,-78.3607,,,8/25/16,https://macaulaylibrary.org/asset/139858061,,1/6/20,
Lesbia,victoriae,m,Leonotis,leonurus,P/T,L,-0.1896,-78.353,,,2/6/19,https://macaulaylibrary.org/asset/139358071,,1/6/20,exotic species
Lesbia,victoriae,f,Callistemon,sp.,NA,H,-0.1896,-78.353,,,7/7/18,https://macaulaylibrary.org/asset/137629631,,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,4.1475,-74.1733,,,1/15/19,"https://macaulaylibrary.org/asset/137271611, 137271591",,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,-0.1656,-78.3613,,,8/24/16,https://macaulaylibrary.org/asset/135230291,,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,-0.1656,-78.3613,,,8/24/16,https://macaulaylibrary.org/asset/135230131,,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,-0.1656,-78.3613,,,8/24/16,https://macaulaylibrary.org/asset/135230041,,1/6/20,
Lesbia,victoriae,f,Leonotis,leonurus,P,L,-0.1656,-78.3613,,,12/1/18,https://macaulaylibrary.org/asset/130315381,,1/6/20,
Lesbia,sp.,NA,Fuchsia,sp.,P/T,L,-13.2624,-72.2676,,,11/4/18,"https://macaulaylibrary.org/asset/126697011, 126697001",,1/6/20,same location as previous mis-IDed L. nuna (interesting--are there any L. victoriae this far south? Or are the tails just shorter south?
Lesbia,victoriae,m,Tecoma,capensis,P/T,L,-0.1656,-78.3613,,,7/2/18,https://macaulaylibrary.org/asset/125125921,,1/6/20,
Lesbia,victoriae,m,Callistemon,sp.,P/T,L,-0.1656,-78.3613,,,10/22/18,https://macaulaylibrary.org/asset/124970251,,1/6/20,
Lesbia,victoriae,m,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,10/29/18,https://macaulaylibrary.org/asset/123466871,,1/6/20,
Lesbia,sp.,f,Lantana,camara,NA,H,-5.8577,-77.9847,,,10/27/18,https://macaulaylibrary.org/asset/121505871,,1/6/20,"IDed as L. victoriae on eBird, but looks like L. nuna, or unclear?"
Lesbia,victoriae,f,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,10/26/18,https://macaulaylibrary.org/asset/120687071,,1/6/20,
Lesbia,victoriae,m,Aloe,?,NR,H,1.1893,-77.2769,,,10/13/18,https://macaulaylibrary.org/asset/118697951,,1/6/20,
Lesbia,nuna,m,Callistemon,sp.,P/T,L,-13.2725,-72.1873,,,8/17/18,https://macaulaylibrary.org/asset/114614241,,1/6/20,mis-IDed nuna as victoriae?
Lesbia,victoriae,m,?,?,NA,L,-0.2315,-78.5203,,,8/24/18,https://macaulaylibrary.org/asset/113197011,,1/6/20,
Lesbia,sp.,m,Leonotis,leonurus,NA,H,-13.5803,-71.7132,,,7/25/18,https://macaulaylibrary.org/asset/111287601,,1/6/20,
Lesbia,victoriae,m,Vinca,major,NA,H,-0.1656,-78.3613,,,6/23/18,https://macaulaylibrary.org/asset/108479891,,1/6/20,
Lesbia,victoriae,m,Salvia,leucantha,P,L,4.6059,-74.0558,,,7/14/18,https://macaulaylibrary.org/asset/107628801,,1/6/20,
Lesbia,victoriae,m,Brugmansia,sanguinea,NR,H,-0.1165,-78.5234,,,6/2/18,https://macaulaylibrary.org/asset/107502031,,1/6/20,
Lesbia,victoriae,m,?,?,NA,L,-0.4591,-78.3232,,,6/29/18,https://macaulaylibrary.org/asset/105994141,,1/6/20,
Lesbia,victoriae,m,Salvia,leucantha,P,H,4.7211,-73.9674,,,11/15/17,https://macaulaylibrary.org/asset/103234091,,1/6/20,
Lesbia,victoriae,m,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,4/14/18,https://macaulaylibrary.org/asset/97729801,,1/6/20,
Lesbia,victoriae,m,Lantana,camara,P/T,L,-5.8577,-77.9847,,,1/22/18,https://macaulaylibrary.org/asset/97116901,,1/6/20,
Lesbia,victoriae,m,Fuchsia,magellanica,P/T,H,-0.1865,-78.4858,,,3/23/18,https://macaulaylibrary.org/asset/93983191,,1/6/20,
Lesbia,victoriae,f,Callistemon,sp.,NA,H,-1.6746,-78.6479,,,11/14/17,https://macaulaylibrary.org/asset/77486291,,1/6/20,
Lesbia,victoriae,f,Fuchsia,boliviensis,NA,H,-0.1865,-78.4858,,,10/18/17,https://macaulaylibrary.org/asset/76402391,,1/6/20,
Lesbia,victoriae,NA,Dunalia?,sp.,P,H,-13.4377,-71.6515,,,10/8/16,https://macaulaylibrary.org/asset/75949301,,1/6/20,plant vaguely resembles Dunalia brachyacantha; bird ID uncertain
Lesbia,victoriae,m,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,11/15/17,https://macaulaylibrary.org/asset/75591711,,1/6/20,
Lesbia,victoriae,m,Salvia,leucantha,P,H,-13.2624,-72.2676,,,10/6/17,https://macaulaylibrary.org/asset/72212221,,1/6/20,mis-IDed nuna as victoriae?
Lesbia,victoriae,f,?,?,NA,H,-0.1826,-78.4671,,,10/16/17,https://macaulaylibrary.org/asset/72142631,,1/6/20,
Lesbia,victoriae,m,?,?,P/T,H,4.2863,-74.2082,,,5/28/17,https://macaulaylibrary.org/asset/59682361,,1/6/20,plant ID could be clearer in this different record: https://macaulaylibrary.org/asset/60796561
Lesbia,victoriae,m,Fuchsia,boliviensis,NR,H,4.6059,-74.0558,,,7/28/15,https://macaulaylibrary.org/asset/57771531,,1/6/20,
Lesbia,victoriae,m,Salvia,leucantha,P,H,4.6059,-74.0558,,,4/27/17,https://macaulaylibrary.org/asset/56901601,,1/6/20,
Lesbia,victoriae,m,Cavendishia,sp.,P,H,4.8583,-73.8751,,,3/19/17,https://macaulaylibrary.org/asset/51935521,,1/6/20,
Lesbia,victoriae,m,?,?,NA,L,-5.1169,-79.6117,,,2/23/17,https://macaulaylibrary.org/asset/49634301,,1/6/20,some kind of damned mint; bird ID uncertain
Lesbia,victoriae,m,Chuquiraga,sp.,P/T,H,-0.4608,-78.3098,,,11/18/14,https://macaulaylibrary.org/asset/44029201,,1/6/20,plant is maybe C. jussieui
Lesbia,victoriae,f,Agapanthus,sp.,P/T,L,-0.1737,-78.3605,,,11/6/16,https://macaulaylibrary.org/asset/42844461,,1/6/20,
Lesbia,victoriae,m,Fuchsia,boliviensis,NR,H,-0.1865,-78.4858,,,2/20/14,"https://macaulaylibrary.org/asset/38713351, https://macaulaylibrary.org/asset/38713321",,1/6/20,
Lesbia,nuna,f,Leonotis,leonurus,NA,L,-13.5803,-71.7132,,,4/2/16,"https://macaulaylibrary.org/asset/36991981, https://macaulaylibrary.org/asset/36991991",,1/6/20,mis-IDed nuna as victoriae
Lesbia,nuna,f,Aloe,sp.,P,H,-13.3516,-71.8933,,,9/26/14,https://macaulaylibrary.org/asset/35573801,,1/6/20,
Lesbia,sp.,m,Abutilon,sp.,P/T,H,-13.2563,-72.2616,,,8/30/16,"https://macaulaylibrary.org/asset/35268121, https://macaulaylibrary.org/asset/35268131",,1/6/20,mis-IDed nuna as victoriae?
Lesbia,victoriae,m,Abutilon,pictum,NR,H,-0.1656,-78.3613,,,8/25/16,"https://macaulaylibrary.org/asset/34659261, https://macaulaylibrary.org/asset/34710241",,1/6/20,
Lesbia,victoriae,m,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,7/17/16,https://macaulaylibrary.org/asset/32581141,,1/6/20,
Lesbia,victoriae,m,Brugmansia,sanguinea,NR,H,-0.5139,-78.1866,,,2/2/16,https://macaulaylibrary.org/asset/23968551,,1/6/20,"not sure about species ID; L.v. supported by long tail, L.n. by body color; eBird record coment: ""Seems like the birds in taking the nectar from the base, maybe using a Flowerpiercer hole."""
Lesbia,victoriae,f,?,?,P/T,H,-0.1865,-78.4858,,,10/29/15,https://macaulaylibrary.org/asset/20631781,,1/6/20,
Lesbia,nuna,f,Passiflora,tarminiana,NR2,L,4.4935,-73.9795,,,3/1/19,https://macaulaylibrary.org/asset/192456461,,1/5/20,hole in calyx larger than Lesbia bill; sex uncertain; plant species ID uncertain
Lesbia,nuna,NA,Fuchsia,sp.,NR,L,4.4935,-73.9795,,,1/3/19,https://macaulaylibrary.org/asset/192456481,,1/6/20,
Lesbia,sp.,NA,Aloe,sp.,P/T,H,7.423,-72.543,,,3/2/18,https://macaulaylibrary.org/asset/167728921,,1/6/20,
Lesbia,nuna,f,?,?,NA,L,-9.0745,-77.6448,,,6/10/19,https://macaulaylibrary.org/asset/185059591,,1/6/20,
Lesbia,nuna,f,Carica,papaya,P,H,4.865,-74.1272,,,9/29/19,https://macaulaylibrary.org/asset/182243351,,1/6/20,
Lesbia,nuna,m,Pittosporum,sp.,P/T,L,4.6731,-74.044,,,9/19/19,https://macaulaylibrary.org/asset/177937401,,1/6/20,
Lesbia,nuna,f,Melastomataceae,?,P/T,L,-0.1118,-78.5847,,,8/24/19,https://macaulaylibrary.org/asset/174008311,,1/6/20,
Lesbia,sp.,m,Hibiscus,sp.,NA,H,-0.191,-78.3391,,,3/29/14,https://macaulaylibrary.org/asset/171292601,,1/6/20,
Lesbia,nuna,m,Stachytarpheta,sp.,P/T,H,-5.8577,-77.9847,,,6/22/19,https://macaulaylibrary.org/asset/167830331,,1/6/20,
Lesbia,sp.,f,?,?,NA,H,5.2826,-73.9164,,,9/23/18,https://macaulaylibrary.org/asset/160826591,,1/6/20,
NA,NA,NA,?,?,NA,L,5.0882,-73.3172,,,4/5/19,https://macaulaylibrary.org/asset/156683541,,1/6/20,"Labelled Lesbia, but I am not sure that this can be positively identified as such (B.I.)"
Lesbia,sp.,m,?,?,P/T,H,4.8798,-74.1403,,,1/5/19,https://macaulaylibrary.org/asset/155356791,,1/6/20,
Lesbia,nuna,m,Iochroma?,sp.,P,L,4.4746,-73.8753,,,4/18/19,https://macaulaylibrary.org/asset/151969961,,1/6/20,3 subsequent observations of the same bird
Lesbia,nuna,f,Opuntia?,sp.,P,L,-13.618,-71.7304,,,10/31/18,https://macaulaylibrary.org/asset/145935341,,1/6/20,4 subsequent observations of the same bird
Lesbia,nuna,f,Leonotis,leonurus,P,L,-13.4132,-71.8435,,,12/6/15,https://macaulaylibrary.org/asset/141590941,,1/6/20,3 observations of the same bird I think
Lesbia,sp.,m,Fuchsia,sp.,NR,L,4.6643,-73.9644,,,1/19/18,https://macaulaylibrary.org/asset/141360191,,1/6/20,
Lesbia,sp.,f,?,?,NR,H,4.6643,-73.9644,,,12/25/18,https://macaulaylibrary.org/asset/133112531,,1/6/20,
Lesbia,sp.,f,Callistemon,sp.,NA,H,5.0942,-73.5648,,,12/22/18,https://macaulaylibrary.org/asset/130853001,,1/6/20,4 subsequent observations of the same bird
Lesbia,nuna,m,Stachytarpheta,sp.,P/T,H,-0.0099,-78.6759,,,6/7/18,https://macaulaylibrary.org/asset/126159671,,1/6/20,
Lesbia,nuna,m,?,?,P,H,-13.618,-71.7304,,,1/15/16,https://macaulaylibrary.org/asset/125942791,,1/6/20,
Lesbia,nuna,m,Alstroemeria,sp.,NA,H,-13.2624,-72.2676,,,11/10/18,https://macaulaylibrary.org/asset/121119971,,1/6/20,1 subsequent observation of the same bird
Lesbia,nuna,m,Nicotiana,glauca,P/T,H,-13.6124,-71.7349,,,3/9/18,https://macaulaylibrary.org/asset/118067351,,1/6/20,2 subsequent observation of the same bird
Lesbia,sp.,m,Abutilon,sp.,NR,H,4.6731,-74.044,,,10/19/17,https://macaulaylibrary.org/asset/117496291,,1/6/20,Can't tell if NR1 or NR2. 1 subsequent observation of same bird
Lesbia,sp.,m,Pittosporum,sp.,P/T,H,4.6743,-74.057,,,10/21/17,https://macaulaylibrary.org/asset/117379591,,1/6/20,1 subsequent observation of the same bird
Lesbia,nuna,NA,Aloe,sp.,P/T,H,2.6115,-76.3775,,,7/28/18,https://macaulaylibrary.org/asset/109264451,,1/6/20,
Lesbia,sp.,m,Agapanthus,sp.,P/T,H,2.6115,-76.3775,,,7/28/18,https://macaulaylibrary.org/asset/109202111,,1/6/20,
Lesbia,nuna,m,Lantana,camara,P/T,H,-5.8577,-77.9847,,,6/17/18,https://macaulaylibrary.org/asset/104836151,,1/6/20,
Lesbia,nuna,m,Eucalyptus?,sp.,NA,H,-13.618,-71.7304,,,5/16/18,https://macaulaylibrary.org/asset/101001501,,1/6/20,1 subsequent observation of the same bird
Lesbia,nuna,f,?,?,NA,L,-6.1984,-79.3045,,,5/5/18,https://macaulaylibrary.org/asset/99034021,,1/6/20,
Lesbia,nuna,f,Nicotiana,tomentosa,P/T,L,-13.1929,-72.5366,,,7/27/12,https://macaulaylibrary.org/asset/92373321,,1/6/20,
Lesbia,nuna,f,?,?,NA,H,-13.3192,-74.3422,,,4/3/18,https://macaulaylibrary.org/asset/88610091,,1/6/20,
Lesbia,nuna,f,?,?,P/T,L,-6.7235,-77.7981,,,8/30/16,https://macaulaylibrary.org/asset/70751301,,1/6/20,
Lesbia,nuna,m,Nicotiana,glauca,P/T,H,-13.5803,-71.7132,,,8/21/17,https://macaulaylibrary.org/asset/68125991,,1/6/20,2 subsequent observation of the same bird
Lesbia,nuna,f,Aloe,sp.,NA,L,-15.2256,-68.7641,,,4/11/16,https://macaulaylibrary.org/asset/60743541,,1/6/20,"1 subsequent observation of the same bird. The flowers are dead and looks like insect hunting, but can't tell for sure."
Lesbia,nuna,f,Lantana,camara,P/T,H,-5.824,-77.9686,,,9/1/14,https://macaulaylibrary.org/asset/57333581,,1/6/20,
Lesbia,sp.,f,?,?,P/T,H,-13.2172,-71.633,,,12/8/15,https://macaulaylibrary.org/asset/52104291,,1/6/20,
Lesbia,nuna,f,Nicotiana,glauca,P,H,-13.3173,-71.595,,,12/15/11,https://macaulaylibrary.org/asset/45599341,,1/6/20,
Lesbia,nuna,m,Alstroemeria,sp.,NA,L,-13.6157,-71.735,,,9/14/15,https://macaulaylibrary.org/asset/44520991,,1/6/20,
Lesbia,sp.,f,Lantana,camara,P/T,H,-5.824,-77.9686,,,7/22/10,https://macaulaylibrary.org/asset/43480441,,1/6/20,"1 previous observation of the same bird, but this one shows the P/T"
Lesbia,nuna,f,Asteraceae,?,NA,H,4.7897,-73.9086,,,12/20/15,https://macaulaylibrary.org/asset/42868821,,1/6/20,
Lesbia,nuna,f,Lantana,camara,NA,H,-5.8577,-77.9847,,,5/11/16,https://macaulaylibrary.org/asset/41925401,,1/6/20,
Lesbia,sp.,m,?,?,NA,H,1.1423,-76.9274,,,11/23/16,https://macaulaylibrary.org/asset/41514751,,1/6/20,bird ID uncertain
Lesbia,sp.,m,Fuchsia,boliviensis,NA,H,4.6334,-73.8302,,,11/25/16,https://macaulaylibrary.org/asset/41086771,,1/6/20,bird ID highly uncertain
Lesbia,nuna,m,Cestrum,sp.,NR,L,1.2623,-77.285,,,9/13/16,https://macaulaylibrary.org/asset/36861491,,1/6/20,"3 subsequent observation of the same bird; possibly L. nuna, but IMO not certain"
Lesbia,nuna,NA,Tecoma,stans,NA,H,2.3821,-76.4565,,,8/18/16,https://macaulaylibrary.org/asset/36720891,,1/6/20,
Lesbia,nuna,m,Antirrhinum,sp.,P/T,H,-13.2624,-72.2676,,,9/20/16,https://macaulaylibrary.org/asset/36193301,,1/6/20,
Lesbia,nuna,NA,Nicotiana,glauca,P/T,H,-13.5799,-71.7135,,,8/20/16,https://macaulaylibrary.org/asset/35324961,,1/6/20,3 subsequent observation of the same bird
Lesbia,nuna,f,Brugmansia,aurea,NR,H,-13.2571,-72.2625,,,2/6/16,https://macaulaylibrary.org/asset/31253401,,1/6/20,"Looks like B. sanguinea, but can't see whole flower.  Ollytaytambo Guesthouse!"
Lesbia,sp.,NA,?,?,NR,L,-13.185,-71.5877,,,10/6/16,https://macaulaylibrary.org/asset/31001691,,1/6/20,Looks like NR but low confidence. 1 subsequent obsevation of same bird
Lesbia,nuna,m,Solanaceae,?,P/T,H,2.5173,-76.2774,,,5/30/16,https://macaulaylibrary.org/asset/29717151,,1/6/20,"possibly L. nuna, but IMO not certain; Cestrum?"
Lesbia,sp.,m,Tecoma,sp.,NA,H,-13.2864,-72.132,,,5/4/16,https://macaulaylibrary.org/asset/27711771,,1/6/20,
Lesbia,sp.,f,?,?,NA,H,2.2745,-76.5995,,,3/30/15,https://macaulaylibrary.org/asset/24761451,,1/6/20,